"Data Source","World Development Indicators",

"Last Updated Date","2025-03-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Channel Islands","CHI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4170","4590","5260","5780","6140","6920","7640","8250","8650","8590","9050","9450","9740","10170","10760","11560","13850","15060","15090","14860","16760","18370","20200","21210","21550","21910","22610","23350","24270","24650","23770","27490","29470","31220",
"China","CHN","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","980","1100","1260","1450","1660","1830","2030","2240","2410","2620","2880","3160","3500","3910","4420","5020","5830","6840","7630","8290","9220","10200","11210","11910","12720","13140","13810","14730","15940","17210","17750","20260","22320","24360",
"Cote d'Ivoire","CIV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2430","2440","2410","2360","2390","2520","1760","1850","1890","1910","1790","1750","1710","1660","1760","1940","1990","2030","2140","2200","2310","2110","2350","2530","4000","4310","4430","4550","4810","5360","5380","5860","6490","6910",
"Cameroon","CMR","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1950","1850","1800","1660","1670","1700","1760","1820","1890","1960","1990","2050","2140","2290","2480","2530","2670","2760","2830","2870","2890","2960","3010","3180","3360","3450","3570","3700","3940","4150","4280","4720","5060","5300",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","760","700","620","540","480","460","490","460","450","410","410","380","400","420","440","460","490","520","530","540","570","600","600","650","740","800","890","970","1030","1100","1110","1270","1400","1560",
"Congo, Rep.","COG","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2900","3010","3180","2920","2890","2110","2160","2590","2810","2510","2680","2730","2890","2950","2820","3250","3890","3560","3900","4420","4760","4660","5730","5700","5820","4690","3870","3860","5280","5140","4740","5570","5930","6500",
"Colombia","COL","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4900","5090","5330","5680","6080","6410","6520","6740","6760","6460","6630","6760","6920","7170","7630","8220","8910","9600","9950","10060","10460","11210","11630","12340","12980","13160","13870","14150","14860","15830","15370","17080","20200","20460",
"Comoros","COM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1470","1400","1540","1580","1500","1560","1540","1600","1610","1640","1820","1870","1900","1930","1980","2060","2140","2180","2260","2300","2370","2470","2670","2830","2950","2960","3160","3360","3320","3330","3270","3460","3730","3890",
"Cabo Verde","CPV","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1050","1070","1190","1290","1540","1750","1950","2170","2420","2680","3050","3190","3320","3500","3900","4200","4590","5460","5870","5760","5800","6160","6070","6160","6130","6540","7110","7690","7750","8480","6700","7580","9360","10190",
"Costa Rica","CRI","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4800","5040","5510","5900","6220","6430","6510","6830","7160","7290","7520","7810","8070","8450","8970","9530","10480","11540","12230","11870","12510","13160","14010","14680","15720","16780","18390","19430","20330","21950","20820","22330","24080","26160",
"Caribbean small states","CSS","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6986.75820734221","7139.83325285023","7364.19728351168","7570.49075116878","7960.7602442486","8520.90355210893","9111.06638799433","9068.33949719538","9353.34554753626","9715.32350506555","10190.9981081764","10335.8464655543","10728.8950307835","11075.6494017345","11624.3997107471","12318.9684240824","13146.3167573485","14024.4813423486","14370.3859981957","14102.4386553584","14313.1282588039","14693.9859113074","15019.8927996753","15390.2779917506","15601.0781984927","15736.737712484","15379.9964431653","16203.9560116473","16713.8418071553","17756.2681628951","16116.0444443043","17891.2831712733","21705.2874905011","25028.265433268",
"Cuba","CUB","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Curacao","CUW","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","24480","25060","25860","26030","25510","25860","25940","24600","24150","23820","23690","23200","24040","24480","25500","21950","25460","29210","",
"Cayman Islands","CYM","GNI per capita, PPP (current international $)","NY.GNP.PCAP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62770","64370","43820","38230","36670","37970","41510","45560","50130","53880","45150","57130","54040","",
